股名,日期,成交股數,淨收付,成交單價,成交價金,手續費,交易稅,稅款,委託書號,幣別,備註
"中鋼","2026/04/22","100","1,949","19.55","1,955","1","5","0","k0WG4","台幣",""
"東和鋼鐵","2026/04/22","250","-17,256","69","17,250","6","0","0","k01TF","台幣",""
"廣達","2026/04/22","10","3,389","340","3,400","1","10","0","k0JFS","台幣",""
"力成","2026/04/22","10","2,163","217","2,170","1","6","0","k0Br6","台幣",""
"元太","2026/04/22","50","7,799","156.5","7,825","3","23","0","k0IqB","台幣",""
"元太","2026/04/22","50","7,973","160","8,000","3","24","0","k0cJb","台幣",""
"元太","2026/04/21","100","15,448","155","15,500","6","46","0","k0S7q","台幣",""
"鴻海","2026/04/20","50","10,291","206.5","10,325","4","30","0","k00RJ","台幣",""
"京元電子","2026/04/20","10","-2,736","273.5","2,735","1","0","0","k0aBc","台幣",""
"京元電子","2026/04/20","2","-545","272","544","1","0","0","k0bie","台幣",""
"元太","2026/04/20","100","15,647","157","15,700","6","47","0","k0Ms3","台幣",""
"元太","2026/04/20","150","23,396","156.5","23,475","9","70","0","k0Ng9","台幣",""
"京元電子","2026/04/17","40","10,983","275.5","11,020","4","33","0","k0cIC","台幣",""
"元太","2026/04/17","150","23,172","155","23,250","9","69","0","k0b1x","台幣",""
"元太","2026/04/17","70","10,849","155.5","10,885","4","32","0","k0dkp","台幣",""
"元太","2026/04/17","100","15,448","155","15,500","6","46","0","k0dn7","台幣",""
"京元電子","2026/04/16","20","-5,672","283.5","5,670","2","0","0","k0NZ5","台幣",""
"光寶科","2026/04/15","37","-5,866","158.5","5,864","2","0","0","k0A5P","台幣",""
"光寶科","2026/04/15","1","-159","158.5","158","1","0","0","k0BLP","台幣",""
"中美晶","2026/04/15","30","3,708","124","3,720","1","11","0","k09AJ","台幣",""
"鎰勝","2026/04/15","50","2,377","47.7","2,385","1","7","0","k0BD5","台幣",""
"士電","2026/04/14","15","2,901","194","2,910","1","8","0","k0BgB","台幣",""
"中鋼","2026/04/14","1,000","20,431","20.5","20,500","8","61","0","CF747","台幣",""
"技嘉","2026/04/14","40","10,844","272","10,880","4","32","0","k0BYv","台幣",""
"南亞科","2026/04/14","30","-6,887","229.5","6,885","2","0","0","k08If","台幣",""
"京元電子","2026/04/14","20","-5,972","298.5","5,970","2","0","0","k08R7","台幣",""
"中美晶","2026/04/14","30","3,649","122","3,660","1","10","0","k0BMH","台幣",""
"鎰勝","2026/04/14","60","2,841","47.5","2,850","1","8","0","k06Rk","台幣",""
"鎰勝","2026/04/14","10","476","47.8","478","1","1","0","k0N5i","台幣",""
"環球晶","2026/04/14","20","10,146","509","10,180","4","30","0","k064b","台幣",""
"環球晶","2026/04/14","20","10,126","508","10,160","4","30","0","k06DC","台幣",""
"元太","2026/04/14","500","-75,029","150","75,000","29","0","0","k0ApB","台幣",""
"元太","2026/04/14","350","-52,520","150","52,500","20","0","0","k0Ayq","台幣",""
"元太","2026/04/14","100","14,999","150.5","15,050","6","45","0","k0UPf","台幣",""
"技嘉","2026/04/13","30","7,894","264","7,920","3","23","0","k0cVe","台幣",""
"南亞科","2026/04/13","10","-2,216","221.5","2,215","1","0","0","k0RSD","台幣",""
"鎰勝","2026/04/13","100","4,720","47.35","4,735","1","14","0","k0WfH","台幣",""
"環球晶","2026/04/13","15","7,431","497","7,455","2","22","0","k0II6","台幣",""
"環球晶","2026/04/13","30","14,741","493","14,790","5","44","0","k0KHc","台幣",""
"環球晶","2026/04/13","15","7,401","495","7,425","2","22","0","k0KR7","台幣",""
"台積電","2026/04/10","1","1,974","1980","1,980","1","5","0","k0PKF","台幣",""
"技嘉","2026/04/10","30","7,774","260","7,800","3","23","0","k0PB6","台幣",""
"瑞昱","2026/04/10","5","2,527","507","2,535","1","7","0","k0P3y","台幣",""
"瑞昱","2026/04/10","5","2,532","508","2,540","1","7","0","k0P6j","台幣",""
"廣達","2026/04/10","10","3,240","325","3,250","1","9","0","k0KPr","台幣",""
"中美晶","2026/04/10","60","7,207","120.5","7,230","2","21","0","k0NyE","台幣",""
"力成","2026/04/10","5","1,081","217","1,085","1","3","0","k02up","台幣",""
"環球晶","2026/04/10","26","12,684","489.5","12,727","5","38","0","k0KiB","台幣",""
"環球晶","2026/04/10","112","54,918","492","55,104","21","165","0","k0Kta","台幣",""
"元太","2026/04/10","35","-5,042","144","5,040","2","0","0","k0KY5","台幣",""
